"","Field","Variable","Mean","Sd","Min","Max"
"111","SS1","H3A Extracted Copper (mg/L)",0.18,0.0564559361561982,0.118998609298347,0.231910481610744
"112","SS1","H3A Extracted Magnesium (mg/L)",130,18.4956997459115,110.413391163179,147.404790655002
"113","SS1","H3A Extracted Sodium (mg/L)",35,13.4745551452965,21.7072630365217,48.6563733271147
"114","SS1","SoilHealth",14,3.22388923788982,10.4633834893829,16.9111619651625
"115","SS1","Carbon (%)",1.9,0.251232274469834,1.63565990312002,2.13812445205969
"116","SS1","WEON:WEN",0.46,0.0972543198207473,0.361992091527559,0.556500731169053
"117","S2","Organic Matter (%)",4.2,0.447213595499958,3.75278640450004,4.64721359549996
"118","S2","Water Extractable Nitrate Nitrogen (mg/L)",5,1.52783834223389,3.46516165776611,6.52083834223389
"119","S2","Water Extractable Organic Carbon (mg/L)",170,9.08539731901937,157.814602680981,175.985397319019
"120","S2","Water Extractable Organic Nitrogen (mg/L)",13,0.926702637191552,11.8632973628084,13.7167026371916
"121","S2","WEOC:WEON",13,0.78711851430109,12.2928814856989,13.8671185143011
"122","S2","Water Extractable Ammonium Nitrogen (mg/L)",0.38,0.285773803324704,0.0975595300086292,0.669107136658037
"123","S2","CO2 Respiration (mg/L)",190,41.5556387402614,151.644361259739,234.755638740261
"124","S2","Water Extractable Nitrogen (mg/L)",18,2.37916885580752,15.6608311441925,20.4191688558075
"125","S2","Microbially Active Carbon (%)",120,25.4206477756436,90.6393522243564,141.480647775644
"126","S2","Aggstab1_2mm",51,8.2334008094401,43.0665991905599,59.5334008094401
"127","S2","CEC",19,2.24360820505225,17.1963917949478,21.6836082050523
"128","S2","Organic Nitrogen Release (mg/L)",13,0.926702637191552,11.8632973628084,13.7167026371916
"129","S2","H3A Extracted Nitrate (mg/L)",7.7,2.10512601892513,5.63487398107487,9.84512601892513
"130","S2","H3A Extracted Ammonium (mg/L)",2.7,0.467142614436129,2.19285738556387,3.12714261443613
"131","S2","H3A Extracted Phosphorous (mg/L)",11,1.79195734076208,9.10804265923792,12.6919573407621
"132","S2","H3A Extracted Inorganic Phosphorous (mg/L)",1.9,0.255821118057999,1.654178881942,2.165821118058
"133","S2","H3A Extracted Organic Phosphorous (mg/L)",9,1.61482713213107,7.37517286786893,10.6048271321311
"134","S2","H3A Extracted Sulfur (mg/L)",8.1,0.823002632640585,7.25699736735942,8.90300263264058
"135","S2","H3A Extracted Potassium (mg/L)",48,9.1706052144883,38.9293947855117,57.2706052144883
"136","S2","H3A Extracted Calcium (mg/L)",660,44.9395890798599,615.36041092014,705.23958907986
"137","S2","H3A Extracted Aluminum (mg/L)",140,19.3114819041246,116.088518095875,154.711481904125
"138","S2","H3A Extracted Iron (mg/L)",79,13.3869754280461,65.5130245719539,92.2869754280461
"139","S2","H3A Extracted Zinc (mg/L)",0.6,0.148282762915242,0.452717237084758,0.749282762915242
"140","S2","H3A Extracted Copper (mg/L)",0.36,0.284263180091189,0.0807368199088114,0.649263180091189
"141","S2","H3A Extracted Magnesium (mg/L)",140,8.70759566253637,128.692404337464,146.107595662536
"142","S2","H3A Extracted Sodium (mg/L)",36,8.85939551486945,27.5406044851306,45.2593955148694
"143","S2","SoilHealth",21,2.41715167546892,18.3328483245311,23.1671516754689
"144","S2","Carbon (%)",2.4,0.260007904360441,2.18185256075584,2.70186836947672
"145","S2","WEON:WEN",0.72,0.0598138582932807,0.655278596740814,0.774906313327375
"146","S3","Organic Matter (%)",5.5,0.489897948556636,5.01010205144336,5.98989794855664
"147","S3","Water Extractable Nitrate Nitrogen (mg/L)",2.8,0.432111096825805,2.3378889031742,3.2021110968258
"148","S3","Water Extractable Organic Carbon (mg/L)",190,25.8256977963165,162.007635537017,213.65903112965
"149","S3","Water Extractable Organic Nitrogen (mg/L)",15,2.13580585884267,12.5475274744907,16.819139192176
"150","S3","WEOC:WEON",13,0.838252149813328,11.99508118352,13.6715854831467
"151","S3","Water Extractable Ammonium Nitrogen (mg/L)",0.25,0.212132034355964,0.0378679656440357,0.462132034355964
"152","S3","CO2 Respiration (mg/L)",240,45.5593129886744,194.490687011326,285.609312988674
"153","S3","Water Extractable Nitrogen (mg/L)",18,2.30709051982506,15.2262428135083,19.8404238531584
"154","S3","Microbially Active Carbon (%)",130,23.3191766578496,105.48082334215,152.11917665785
"155","S3","Aggstab1_2mm",61,5.98887858172685,55.3444547516065,67.3222119150602
"156","S3","CEC",20,2.77776888887467,16.8222311111253,22.3777688888747
"157","S3","Organic Nitrogen Release (mg/L)",15,2.13580585884267,12.5475274744907,16.819139192176
"158","S3","H3A Extracted Nitrate (mg/L)",3.9,1.95448202856921,1.94551797143079,5.85448202856921
"159","S3","H3A Extracted Ammonium (mg/L)",2.2,1.00548495761995,1.24451504238005,3.25548495761995
"160","S3","H3A Extracted Phosphorous (mg/L)",31,18.5301556028725,12.3031777304608,49.3634889362058
"161","S3","H3A Extracted Inorganic Phosphorous (mg/L)",14,9.93326062613212,4.05007270720122,23.9165939594655
"162","S3","H3A Extracted Organic Phosphorous (mg/L)",17,8.72255696456033,8.12744303543967,25.5725569645603
"163","S3","H3A Extracted Sulfur (mg/L)",11,5.23937019115848,5.41062980884152,15.8893701911585
"164","S3","H3A Extracted Potassium (mg/L)",63,35.3534533909584,27.3132132757083,98.020120057625
"165","S3","H3A Extracted Calcium (mg/L)",860,436.747371676884,423.919294989782,1297.41403834355
"166","S3","H3A Extracted Aluminum (mg/L)",120,8.75785361832453,108.042146381675,125.557853618325
"167","S3","H3A Extracted Iron (mg/L)",61,5.94138031100518,55.4586196889948,67.3413803110052
"168","S3","H3A Extracted Zinc (mg/L)",1.1,0.577676379991427,0.487323620008573,1.64267637999143
"169","S3","H3A Extracted Copper (mg/L)",0.17,0.0624232862533419,0.105910047079991,0.230756619586675
"170","S3","H3A Extracted Magnesium (mg/L)",150,73.8773758783206,77.7892907883461,225.544042544987
"171","S3","H3A Extracted Sodium (mg/L)",23,8.82420912414629,13.8424575425204,31.490875790813
"172","S3","SoilHealth",24,2.61958775382693,21.2204122461731,26.4595877538269
"173","S3","Carbon (%)",3.2,0.28482438869572,2.91285002990893,3.48249880730037
"174","S3","WEON:WEN",0.84,0.0189508675226951,0.817141585454036,0.855043320499426
"175","S4","Organic Matter (%)",5.2,0.688395880935446,4.56160411906455,5.93839588093545
"176","S4","Water Extractable Nitrate Nitrogen (mg/L)",5.7,1.90077791092665,3.77622208907335,7.57777791092665
"177","S4","Water Extractable Organic Carbon (mg/L)",170,28.7326759398888,139.567324060111,197.032675939889
"178","S4","Water Extractable Organic Nitrogen (mg/L)",13,3.41753647464889,9.96246352535111,16.7975364746489
"179","S4","WEOC:WEON",13,4.8267311229582,8.6532688770418,18.3067311229582
"180","S4","Water Extractable Ammonium Nitrogen (mg/L)",1.1,0.653834841531101,0.446165158468899,1.7538348415311
"181","S4","CO2 Respiration (mg/L)",280,63.4357557778822,216.984244222118,343.855755777882
"182","S4","Water Extractable Nitrogen (mg/L)",20,4.32415695058971,15.7258430494103,24.3741569505897
"183","S4","Microbially Active Carbon (%)",170,48.910671410008,121.929328589992,219.750671410008
"184","S4","Aggstab1_2mm",39,11.9907371657366,27.0092628342634,50.9907371657366
"185","S4","CEC",17,1.27453695295368,16.1254630470463,18.6745369529537
"186","S4","Organic Nitrogen Release (mg/L)",13,3.41753647464889,9.96246352535111,16.7975364746489
"187","S4","H3A Extracted Nitrate (mg/L)",7.6,2.74055955357052,4.87944044642948,10.3605595535705
"188","S4","H3A Extracted Ammonium (mg/L)",3,0.675030863491934,2.29496913650807,3.64503086349193
"189","S4","H3A Extracted Phosphorous (mg/L)",16,10.9015799058872,4.89842009411276,26.7015799058872
"190","S4","H3A Extracted Inorganic Phosphorous (mg/L)",4.6,5.65686407041137,0,10.2868640704114
"191","S4","H3A Extracted Organic Phosphorous (mg/L)",11,5.2776362554125,5.8923637445875,16.4476362554125
"192","S4","H3A Extracted Sulfur (mg/L)",11,2.25785050189088,9.21214949810912,13.7278505018909
"193","S4","H3A Extracted Potassium (mg/L)",72,41.7394031794631,30.4605968205369,113.939403179463
"194","S4","H3A Extracted Calcium (mg/L)",790,125.014176973831,660.085823026169,910.114176973831
"195","S4","H3A Extracted Aluminum (mg/L)",100,17.8873015168738,85.3126984831262,121.087301516874
"196","S4","H3A Extracted Iron (mg/L)",85,6.78314905564599,78.516850944354,92.083149055646
"197","S4","H3A Extracted Zinc (mg/L)",0.95,0.343719847162385,0.605280152837615,1.29271984716239
"198","S4","H3A Extracted Copper (mg/L)",0.16,0.098482937044388,0.062517062955612,0.259482937044388
"199","S4","H3A Extracted Magnesium (mg/L)",150,19.5451045305752,131.754895469425,170.845104530575
"200","S4","H3A Extracted Sodium (mg/L)",34,10.8058626063201,23.0941373936799,44.7058626063201
"201","S4","SoilHealth",25,3.24390043003789,21.8090995699621,28.2969004300379
"202","S4","Carbon (%)",3.1,0.400230163334563,2.65209541806079,3.45255574472991
"203","S4","WEON:WEN",0.67,0.118990075917473,0.546278566251976,0.784258718086921
"204","W1","Organic Matter (%)",5.4,0.34537764010676,5.02962235989324,5.72037764010676
"205","W1","Water Extractable Nitrate Nitrogen (mg/L)",2.6,0.580010775761968,2.06123922423803,3.22126077576197
"206","W1","Water Extractable Organic Carbon (mg/L)",180,17.9045086101638,158.595491389836,194.404508610164
"207","W1","Water Extractable Organic Nitrogen (mg/L)",16,2.19995941521007,14.0625405847899,18.4624594152101
"208","W1","WEOC:WEON",11,0.874948978104275,10.0625510218957,11.8124489781043
"209","W1","Water Extractable Ammonium Nitrogen (mg/L)",0.47,0.186189867250253,0.280476799416414,0.652856533916919
"210","W1","CO2 Respiration (mg/L)",270,51.223263060561,219.139236939439,321.585763060561
"211","W1","Water Extractable Nitrogen (mg/L)",19,1.80138835346518,17.4236116465348,21.0263883534652
"212","W1","Microbially Active Carbon (%)",150,18.9999812029982,133.325018797002,171.324981202998
"213","W1","Aggstab1_2mm",64,11.076841994514,53.048158005486,75.201841994514
"214","W1","CEC",18,1.83069073615086,16.3693092638491,20.0306907361509
"215","W1","Organic Nitrogen Release (mg/L)",16,2.19995941521007,14.0625405847899,18.4624594152101
"216","W1","H3A Extracted Nitrate (mg/L)",4.6,0.982707629823991,3.61729237017601,5.58270762982399
"217","W1","H3A Extracted Ammonium (mg/L)",2.3,0.90514402958077,1.36985597041923,3.18014402958077
"218","W1","H3A Extracted Phosphorous (mg/L)",30,19.2757249261492,10.5992750738508,49.1507249261493
"219","W1","H3A Extracted Inorganic Phosphorous (mg/L)",15,12.7446347254723,2.2053652745277,27.6946347254723
"220","W1","H3A Extracted Organic Phosphorous (mg/L)",15,6.67356191036156,8.25143808963844,21.5985619103616
"221","W1","H3A Extracted Sulfur (mg/L)",16,4.54656463717387,11.8159353628261,20.9090646371739
"222","W1","H3A Extracted Potassium (mg/L)",64,21.9736042950237,42.4013957049763,86.3486042950237
"223","W1","H3A Extracted Calcium (mg/L)",1100,188.738670426295,929.261329573705,1306.7386704263
"224","W1","H3A Extracted Aluminum (mg/L)",110,12.8285396117964,98.1714603882036,123.828539611796
"225","W1","H3A Extracted Iron (mg/L)",64,14.5988013206564,49.7761986793436,78.9738013206564
"226","W1","H3A Extracted Zinc (mg/L)",1.8,0.764627593762387,1.01912240623761,2.54837759376239
"227","W1","H3A Extracted Copper (mg/L)",0.14,0.0362530786869986,0.103746921313001,0.176253078686999
"228","W1","H3A Extracted Magnesium (mg/L)",160,14.9379669681941,145.062033031806,174.937966968194
"229","W1","H3A Extracted Sodium (mg/L)",30,11.1218896133449,18.5031103866551,40.7468896133449
"230","W1","SoilHealth",25,2.92150157086582,22.2334984291342,28.0765015708658
"231","W1","Carbon (%)",3.1,0.200800953550443,2.92419904644956,3.32580095355044
"232","W1","WEON:WEN",0.84,0.0457514785564977,0.796880356333816,0.888383313446812
"233","E1","pH",5.3,0.643109681245588,4.65689031875441,5.94310968124559
"234","E2","pH",5.2,0.643109681245588,4.57117603304013,5.8573953955313
"235","E3","pH",5.5,0.643109681245588,4.90133476319886,6.18755412569003
"236","SS1","pH",6,0.643109681245588,5.36598122784532,6.6522005903365
"237","S2","pH",5.9,0.643109681245588,5.28689031875441,6.57310968124559
"238","S3","pH",6.8,0.643109681245588,6.12355698542108,7.40977634791225
"239","S4","pH",6.2,0.643109681245588,5.54689031875441,6.83310968124559
"240","W1","pH",7,0.643109681245588,6.30689031875441,7.59310968124559
